name,address,site_url,has_bomboniere,has_sessions,id
Kinoplex Nova América,"Av.Pastor Martin Luther King Jr, 126 - Del Castilho",https://www.ingresso.com/cinema/kinoplex-nova-america?city=rio-de-janeiro&partnership=home,true,true,610b5af8-9741-4521-ba6c-2062a3573858
Cine Santa Teresa,"Rua Paschoal Carlos Magno , 136 - Santa Teresa",https://www.ingresso.com/cinema/cine-santa-teresa?city=rio-de-janeiro&partnership=home,false,true,664d8071-6de4-4729-90b5-541cbd614fa0
Cineflix Center Shopping Rio de Janeiro (RIO),"Avenida Geremario Dantas, 404 - Tanque",https://www.ingresso.com/cinema/cineflix-center-shopping-rio-de-janeiro-rio?city=rio-de-janeiro&partnership=home,false,true,7b8a54a5-d3e7-484b-9527-7c0027af31eb
Cinemark Metropolitano Barra,"Av. Abelardo Bueno, 1300 - Barra da Tijuca",https://www.ingresso.com/cinema/cinemark-metropolitano-barra?city=rio-de-janeiro&partnership=home,true,true,7eb025ad-7a5d-45a3-8d96-3e164ae368bf
Cinesystem Parque Shopping Sulacap,"Av Marechal Fontenelle, 3545 - Campo Dos Afonsos",https://www.ingresso.com/cinema/cinesystem-parque-shopping-sulacap?city=rio-de-janeiro&partnership=home,true,true,882828de-4ffa-4c5b-8790-d5a8ce6ec4c2
Cinesystem Recreio,"Av. das Américas, 19019 - Recreio",https://www.ingresso.com/cinema/cinesystem-recreio?city=rio-de-janeiro&partnership=home,true,true,8ceaeb5b-83c1-4592-8154-707c27d3d1e7
UCI New York City Center,"Av. das Américas, 5000 - Barra da Tijuca",https://www.ingresso.com/cinema/uci-new-york-city-center?city=rio-de-janeiro&partnership=home,true,true,9b28d8d5-ff72-4645-9efa-105cd995b82a
Kinoplex Tijuca,"Av Maracanã, 987 - Tijuca",https://www.ingresso.com/cinema/kinoplex-tijuca?city=rio-de-janeiro&partnership=home,true,true,9b78a3da-9301-4955-af38-b97798a25dbd
Cinesystem Ilha do Governador,"AVENIDA MAESTRO PAULO E SILVA, 400 - Ilha do Governador",https://www.ingresso.com/cinema/cinesystem-ilha-do-governador?city=rio-de-janeiro&partnership=home,true,true,adf30620-3c3b-4ecd-abc1-143398a7e530
Estação NET Botafogo,"R. Voluntários da Pátria, 88 - Botafogo",https://www.ingresso.com/cinema/estacao-net-botafogo?city=rio-de-janeiro&partnership=home,true,true,b0318467-052e-4f95-b781-06db88181dfb
Cinesystem Via Brasil,"Rua Itapera, 500 - Irajá",https://www.ingresso.com/cinema/cinesystem-via-brasil?city=rio-de-janeiro&partnership=home,true,true,c64377bc-b4f5-4ff9-87a9-feedcbc9e406
Cinemark Village Mall,"Av. das Américas, 3900 - Barra da Tijuca",https://www.ingresso.com/cinema/cinemark-village-mall?city=rio-de-janeiro&partnership=home,true,true,da5790b7-036b-4093-a2a0-505bc29473c1
UCI Kinoplex Norte Shopping,"Av. Dom Helder Camara, 5080 - Cachambi",https://www.ingresso.com/cinema/uci-kinoplex-norte-shopping?city=rio-de-janeiro&partnership=home,true,true,e806b495-5e4d-4910-8c5c-236cefcb3401
Estação NET Gávea,"R. Marquês de São Vicente, 52 - Gávea",https://www.ingresso.com/cinema/estacao-net-gavea?city=rio-de-janeiro&partnership=home,true,true,eff4cc6f-be6c-4e89-a3f9-041bc82bb568
Kinoplex São Luiz,"R. do Catete, 311 - Catete",https://www.ingresso.com/cinema/kinoplex-sao-luiz?city=rio-de-janeiro&partnership=home,true,true,f28ca14e-1591-455b-aa99-6890d86483ed
Estação NET Rio,"R. Voluntários da Pátria, 35 - Botafogo",https://www.ingresso.com/cinema/estacao-net-rio?city=rio-de-janeiro&partnership=home,true,true,f8143060-c187-401c-901f-89ed493b580e
Kinoplex Madureira,"Estrada do Portela, 222 - Madureira",https://www.ingresso.com/cinema/kinoplex-madureira?city=rio-de-janeiro&partnership=home,true,true,fc3bd649-b7dc-457f-97da-0fc1111fca03
